,date,start-val,max-val,min-val,avg-val,close-val,monetary-diff,precent-diff,amount,value,set-index,set-diff
0,20/04/18,19.60,19.80,19.40,19.60,19.60,0.00,0.00,"44,606.10",874.15,"1,801.28",0.35
1,19/04/18,19.50,19.80,19.20,19.53,19.60,0.30,1.55,"81,296.77","1,587.97","1,794.94",1.32
2,18/04/18,20.20,20.40,18.90,19.41,19.30,-0.90,-4.46,"184,860.01","3,588.36","1,771.56",0.91
3,17/04/18,20.40,20.50,20.10,20.30,20.20,-0.20,-0.98,"21,264.28",431.77,"1,755.53",-0.66
4,12/04/18,20.50,20.80,20.30,20.52,20.40,-0.10,-0.49,"43,307.13",888.69,"1,767.17",0.22
5,11/04/18,20.20,20.60,20.00,20.37,20.50,0.40,1.99,"67,751.40","1,380.16","1,763.22",0.13
6,10/04/18,19.90,20.20,19.80,19.98,20.10,0.00,0.00,"40,443.26",808.54,"1,760.95",0.55
7,09/04/18,19.80,20.20,19.80,20.02,20.10,0.20,1.01,"48,304.39",966.90,"1,751.27",0.65
8,05/04/18,19.70,20.00,19.70,19.86,19.90,0.30,1.53,"38,290.13",760.28,"1,739.92",0.87
9,04/04/18,20.00,20.20,19.50,19.77,19.60,-0.40,-2.00,"55,048.19","1,088.22","1,724.98",-2.28
10,03/04/18,20.20,20.40,19.80,20.06,20.00,-0.30,-1.48,"48,463.46",972.05,"1,765.24",-0.96
11,02/04/18,20.40,20.60,20.20,20.38,20.30,0.00,0.00,"45,196.37",920.91,"1,782.28",0.34
12,30/03/18,20.00,20.40,19.80,20.13,20.30,0.50,2.53,"67,888.51","1,366.58","1,776.26",0.53
13,29/03/18,20.30,20.30,19.70,19.92,19.80,-0.40,-1.98,"68,243.98","1,359.76","1,766.92",-1.01
14,28/03/18,20.60,20.60,20.10,20.33,20.20,-0.30,-1.46,"48,617.22",988.19,"1,784.99",-0.98
15,27/03/18,20.70,20.80,20.50,20.62,20.50,0.00,0.00,"45,976.00",948.07,"1,802.58",0.08
16,26/03/18,20.30,20.60,20.30,20.43,20.50,0.20,0.99,"56,281.54","1,149.98","1,801.10",0.38
17,23/03/18,20.40,20.50,20.10,20.30,20.30,-0.40,-1.93,"120,721.25","2,451.06","1,794.21",-0.24
18,22/03/18,21.00,21.20,20.60,20.84,20.70,-0.10,-0.48,"67,720.17","1,410.99","1,798.55",-0.16
19,21/03/18,21.00,21.20,20.80,20.96,20.80,-0.10,-0.48,"63,684.70","1,335.09","1,801.43",0.09
20,20/03/18,20.90,21.30,20.50,20.92,20.90,-0.20,-0.95,"116,482.86","2,436.62","1,799.84",0.00
21,19/03/18,22.10,22.10,21.00,21.46,21.10,-0.90,-4.09,"158,862.77","3,408.59","1,799.79",-0.66
22,16/03/18,22.00,22.50,22.00,22.19,22.00,-0.10,-0.45,"79,450.50","1,763.10","1,811.76",-0.24
23,15/03/18,22.40,22.70,22.10,22.36,22.10,-0.30,-1.34,"102,515.03","2,291.75","1,816.08",0.15
24,14/03/18,21.90,22.70,21.60,22.13,22.40,0.40,1.82,"139,774.44","3,092.52","1,813.40",0.19
25,13/03/18,21.60,22.10,21.50,21.84,22.00,0.30,1.38,"109,799.26","2,395.51","1,809.90",0.53
26,12/03/18,21.50,21.80,21.30,21.58,21.70,0.40,1.88,"106,062.54","2,288.75","1,800.32",1.41
27,09/03/18,21.60,21.70,20.90,21.23,21.30,-0.20,-0.93,"110,264.75","2,341.37","1,775.37",-0.20
28,08/03/18,21.40,22.00,20.70,21.41,21.50,0.30,1.42,"201,788.54","4,320.57","1,778.90",-0.15
29,07/03/18,23.00,23.10,21.20,22.31,21.20,-1.70,-7.42,"248,529.95","5,545.66","1,781.64",-0.97
30,06/03/18,23.70,24.20,22.70,23.59,22.90,-0.30,-1.29,"424,735.72","10,018.03","1,799.06",-0.54
31,05/03/18,22.90,23.50,22.70,23.15,23.20,0.50,2.20,"121,584.42","2,815.14","1,808.89",-0.17
32,02/03/18,23.20,23.50,22.70,23.11,22.70,-0.80,-3.40,"88,051.13","2,034.03","1,811.98",-0.99
33,28/02/18,23.20,23.80,23.20,23.55,23.50,0.30,1.29,"116,119.21","2,735.37","1,830.13",-0.01
34,27/02/18,23.40,23.90,23.20,23.48,23.20,-0.30,-1.28,"163,278.42","3,832.56","1,830.39",-0.21
35,26/02/18,22.30,23.70,22.10,23.06,23.50,1.30,5.86,"263,577.23","6,078.10","1,834.18",1.44
36,23/02/18,21.70,22.30,21.20,21.82,22.20,0.60,2.78,"157,222.61","3,431.22","1,808.06",1.09
37,22/02/18,21.30,22.30,21.10,21.92,21.60,0.30,1.41,"176,345.72","3,866.14","1,788.63",-0.70
38,21/02/18,21.60,21.70,21.10,21.31,21.30,-0.20,-0.93,"61,535.20","1,311.23","1,801.16",0.01
39,20/02/18,21.70,21.80,21.40,21.62,21.50,-0.10,-0.46,"60,057.70","1,298.47","1,801.02",-0.48
40,19/02/18,21.80,21.90,21.40,21.65,21.60,-0.10,-0.46,"46,050.64",996.81,"1,809.67",0.21
41,16/02/18,21.90,22.00,21.50,21.75,21.70,-0.10,-0.46,"78,521.79","1,707.79","1,805.89",0.28
42,15/02/18,20.90,21.80,20.90,21.44,21.80,1.00,4.81,"97,710.50","2,095.37","1,800.86",0.49
43,14/02/18,21.20,21.30,20.80,20.99,20.80,-0.30,-1.42,"53,688.70","1,127.10","1,792.09",-0.44
44,13/02/18,21.30,21.60,21.10,21.31,21.10,-0.10,-0.47,"85,351.09","1,818.44","1,800.03",0.03
45,12/02/18,21.10,21.30,20.80,21.03,21.20,0.20,0.95,"75,429.65","1,586.34","1,799.45",0.73
46,09/02/18,20.50,21.20,20.50,20.79,21.00,0.20,0.96,"126,569.48","2,631.80","1,786.45",-0.01
47,08/02/18,21.10,21.30,20.70,20.97,20.80,-0.20,-0.95,"146,830.82","3,078.00","1,786.66",0.07
48,07/02/18,21.90,21.90,21.00,21.39,21.00,-0.60,-2.78,"116,143.93","2,483.49","1,785.44",-0.17
49,06/02/18,20.80,21.80,20.70,21.13,21.60,0.00,0.00,"263,293.87","5,564.90","1,788.43",-1.21
50,05/02/18,21.20,21.80,21.00,21.44,21.60,-0.20,-0.92,"166,859.45","3,577.04","1,810.32",-0.93
51,02/02/18,22.40,22.50,21.80,22.05,21.80,-0.70,-3.11,"141,839.09","3,128.12","1,827.35",-0.34
52,01/02/18,22.70,22.80,22.40,22.60,22.50,-0.30,-1.32,"121,402.83","2,742.52","1,833.60",0.37
53,31/01/18,22.30,23.00,22.10,22.66,22.80,0.30,1.33,"179,913.88","4,077.98","1,826.86",0.01
54,30/01/18,22.30,22.60,22.10,22.33,22.50,0.00,0.00,"147,271.28","3,289.83","1,826.61",-0.59
55,29/01/18,22.20,22.50,21.90,22.19,22.50,0.60,2.74,"155,629.65","3,453.73","1,837.49",0.47
56,26/01/18,21.00,21.90,20.80,21.33,21.90,0.90,4.29,"166,091.11","3,542.19","1,828.88",0.53
57,25/01/18,21.40,21.40,20.80,21.17,21.00,-0.30,-1.41,"86,135.10","1,823.79","1,819.29",-1.07
58,24/01/18,21.40,21.50,21.10,21.28,21.30,0.00,0.00,"66,473.86","1,414.76","1,838.96",0.39
59,23/01/18,21.00,21.80,21.00,21.33,21.30,0.50,2.40,"261,806.51","5,584.71","1,831.78",0.42
60,22/01/18,20.90,21.10,20.60,20.85,20.80,-0.20,-0.95,"170,471.84","3,555.01","1,824.06",0.15
61,19/01/18,22.30,22.40,20.60,21.15,21.00,-1.60,-7.08,"515,707.97","10,906.43","1,821.34",0.11
62,18/01/18,22.70,22.90,22.40,22.67,22.60,0.50,2.26,"157,540.83","3,571.84","1,819.32",-0.52
63,17/01/18,22.20,22.20,21.60,21.89,22.10,-0.20,-0.90,"183,253.13","4,010.23","1,828.88",0.39
64,16/01/18,22.30,22.50,22.10,22.26,22.30,0.10,0.45,"90,398.96","2,012.06","1,821.83",-0.05
65,15/01/18,21.90,22.40,21.60,22.08,22.20,0.50,2.30,"142,467.44","3,145.30","1,822.66",0.69
66,12/01/18,21.70,21.90,21.40,21.63,21.70,-0.10,-0.46,"74,413.72","1,609.86","1,810.19",0.41
67,11/01/18,21.60,22.10,21.20,21.67,21.80,0.10,0.46,"155,599.33","3,372.46","1,802.80",0.44
68,10/01/18,21.50,22.00,21.40,21.69,21.70,0.20,0.93,"206,944.38","4,488.08","1,794.92",-0.02
69,09/01/18,20.60,21.50,20.40,21.08,21.50,1.00,4.88,"243,733.05","5,137.02","1,795.21",0.13
70,08/01/18,21.00,21.00,20.50,20.73,20.50,-0.30,-1.44,"104,629.10","2,169.36","1,792.81",-0.15
71,05/01/18,20.60,20.90,20.20,20.61,20.80,0.20,0.97,"150,385.37","3,099.90","1,795.45",0.25
72,04/01/18,19.80,20.60,19.70,20.19,20.60,1.10,5.64,"281,905.97","5,693.10","1,791.02",0.70
73,03/01/18,19.60,20.00,19.40,19.70,19.50,0.00,0.00,"188,406.69","3,711.15","1,778.53",1.42
74,29/12/17,19.70,19.80,19.40,19.58,19.50,-0.10,-0.51,"87,708.85","1,716.97","1,753.71",0.60
75,28/12/17,18.80,19.60,18.50,19.17,19.60,0.90,4.81,"233,679.97","4,479.55","1,743.29",-0.55
76,27/12/17,18.80,19.00,18.70,18.81,18.70,-0.10,-0.53,"55,645.83","1,047.07","1,752.89",0.02
77,26/12/17,18.80,18.90,18.60,18.76,18.80,0.00,0.00,"44,228.12",829.86,"1,752.48",0.13
78,25/12/17,19.00,19.00,18.60,18.79,18.80,-0.20,-1.05,"40,508.31",761.13,"1,750.22",0.47
79,22/12/17,19.00,19.20,18.80,18.98,19.00,0.00,0.00,"69,873.51","1,326.41","1,742.08",0.30
80,21/12/17,18.70,19.10,18.60,18.92,19.00,0.30,1.60,"170,369.82","3,220.07","1,736.91",-0.07
81,20/12/17,18.80,19.00,18.40,18.66,18.70,0.00,0.00,"166,985.08","3,115.89","1,738.16",0.34
82,19/12/17,17.80,18.80,17.70,18.26,18.70,1.00,5.65,"259,711.18","4,740.86","1,732.31",0.50
83,18/12/17,17.60,17.70,17.50,17.61,17.70,0.20,1.14,"32,199.58",566.97,"1,723.71",0.35
84,15/12/17,17.30,17.70,17.30,17.57,17.50,0.30,1.74,"106,032.26","1,862.83","1,717.69",0.16
85,14/12/17,17.30,17.30,17.10,17.20,17.20,0.00,0.00,"16,985.65",292.15,"1,714.99",0.47
86,13/12/17,17.10,17.40,17.00,17.24,17.20,0.10,0.58,"22,333.28",385.00,"1,706.93",0.28
87,12/12/17,17.00,17.20,17.00,17.10,17.10,0.10,0.59,"13,539.64",231.51,"1,702.17",-0.25
88,08/12/17,17.10,17.20,17.00,17.09,17.00,0.00,0.00,"13,449.54",229.81,"1,706.52",0.18
89,07/12/17,17.10,17.20,17.00,17.08,17.00,-0.10,-0.58,"9,662.87",165.00,"1,703.37",0.53
90,06/12/17,17.20,17.20,17.00,17.10,17.10,0.00,0.00,"13,263.22",226.86,"1,694.39",-0.19
91,04/12/17,17.20,17.30,17.10,17.14,17.10,0.00,0.00,"18,649.73",319.64,"1,697.61",-0.12
92,01/12/17,17.20,17.20,17.00,17.10,17.10,0.00,0.00,"13,931.47",238.26,"1,699.65",0.13
93,30/11/17,17.00,17.10,16.80,16.98,17.10,0.10,0.59,"39,644.02",673.33,"1,697.39",-0.47
94,29/11/17,17.20,17.20,17.00,17.07,17.00,-0.10,-0.58,"20,625.44",352.22,"1,705.33",-0.07
95,28/11/17,16.90,17.20,16.90,17.09,17.10,0.20,1.18,"41,776.28",713.94,"1,706.52",0.64
96,27/11/17,17.00,17.10,16.90,16.96,16.90,-0.10,-0.59,"12,656.07",214.70,"1,695.67",-0.01
97,24/11/17,17.10,17.20,16.90,17.01,17.00,-0.10,-0.58,"49,317.44",838.71,"1,695.84",-0.68
98,23/11/17,17.30,17.30,17.10,17.15,17.10,-0.10,-0.58,"12,308.10",211.11,"1,707.38",-0.34
99,22/11/17,17.20,17.40,17.10,17.27,17.20,0.10,0.58,"16,022.41",276.76,"1,713.13",0.15
100,21/11/17,17.10,17.30,17.10,17.13,17.10,0.00,0.00,"15,910.66",272.58,"1,710.48",-0.23
101,20/11/17,17.20,17.30,17.10,17.17,17.10,0.00,0.00,"14,126.58",242.59,"1,714.38",0.29
102,17/11/17,17.10,17.30,17.00,17.12,17.10,0.00,0.00,"31,835.31",544.93,"1,709.38",1.07
103,16/11/17,17.30,17.30,17.10,17.15,17.10,0.00,0.00,"21,954.74",376.59,"1,691.25",0.06
104,15/11/17,17.40,17.40,17.10,17.17,17.10,-0.30,-1.72,"46,903.19",805.38,"1,690.26",-0.73
105,14/11/17,17.40,17.50,17.30,17.41,17.40,0.10,0.58,"24,225.50",421.69,"1,702.63",0.92
106,13/11/17,17.40,17.50,17.20,17.36,17.30,0.10,0.58,"28,224.28",490.06,"1,687.05",-0.13
107,10/11/17,17.60,17.70,17.20,17.38,17.20,-0.20,-1.15,"78,140.60","1,357.84","1,689.28",-0.81
108,09/11/17,17.60,17.70,17.40,17.53,17.40,-0.10,-0.57,"29,668.77",520.08,"1,703.03",-0.68
109,08/11/17,17.60,17.60,17.40,17.51,17.50,0.00,0.00,"22,232.74",389.31,"1,714.65",0.11
110,07/11/17,17.50,17.90,17.40,17.66,17.50,0.00,0.00,"105,134.25","1,857.16","1,712.75",0.06
111,06/11/17,17.20,17.50,17.10,17.39,17.50,0.40,2.34,"29,111.02",506.27,"1,711.74",0.60
112,03/11/17,17.40,17.40,17.00,17.14,17.10,-0.20,-1.16,"32,067.73",549.48,"1,701.47",-0.03
113,02/11/17,17.40,17.60,17.30,17.42,17.30,-0.10,-0.57,"22,405.37",390.44,"1,701.93",-0.74
114,01/11/17,17.60,17.60,17.40,17.48,17.40,-0.10,-0.57,"25,811.63",451.34,"1,714.55",-0.40
115,31/10/17,17.60,17.70,17.40,17.53,17.50,0.00,0.00,"43,691.96",765.95,"1,721.37",0.16
116,30/10/17,17.10,17.60,17.00,17.36,17.50,0.50,2.94,"71,254.72","1,237.02","1,718.66",0.15
117,27/10/17,17.00,17.10,16.90,17.00,17.00,-0.10,-0.58,"24,640.84",418.87,"1,716.03",0.42
118,25/10/17,17.10,17.20,17.00,17.10,17.10,0.00,0.00,"11,141.75",190.53,"1,708.84",0.41
119,24/10/17,17.00,17.20,16.90,17.08,17.10,0.20,1.18,"22,076.08",376.97,"1,701.81",0.55
