,date,start-val,max-val,min-val,avg-val,close-val,monetary-diff,precent-diff,amount,value,set-index,set-diff
0,20/04/18,586.00,590.00,576.00,583.92,588.00,8.00,1.38,"21,180.72","12,367.87","1,801.28",0.35
1,19/04/18,554.00,580.00,554.00,568.60,580.00,30.00,5.45,"27,372.13","15,564.51","1,794.94",1.32
2,18/04/18,550.00,550.00,546.00,548.34,550.00,4.00,0.73,"6,197.66","3,398.41","1,771.56",0.91
3,17/04/18,550.00,552.00,546.00,548.66,546.00,-4.00,-0.73,"8,707.60","4,777.53","1,755.53",-0.66
4,12/04/18,550.00,554.00,544.00,549.94,550.00,4.00,0.73,"11,203.88","6,161.57","1,767.17",0.22
5,11/04/18,556.00,556.00,542.00,548.75,546.00,-6.00,-1.09,"11,561.45","6,344.33","1,763.22",0.13
6,10/04/18,554.00,556.00,548.00,551.59,552.00,2.00,0.36,"8,592.17","4,739.35","1,760.95",0.55
7,09/04/18,538.00,554.00,538.00,547.11,550.00,8.00,1.48,"9,878.69","5,404.75","1,751.27",0.65
8,05/04/18,538.00,542.00,534.00,538.69,542.00,10.00,1.88,"8,342.79","4,494.16","1,739.92",0.87
9,04/04/18,546.00,548.00,532.00,540.40,532.00,-14.00,-2.56,"16,046.34","8,670.97","1,724.98",-2.28
10,03/04/18,546.00,550.00,542.00,545.70,546.00,-6.00,-1.09,"8,248.66","4,501.32","1,765.24",-0.96
11,02/04/18,550.00,554.00,548.00,551.10,552.00,0.00,0.00,"5,796.46","3,194.45","1,782.28",0.34
12,30/03/18,550.00,556.00,544.00,550.87,552.00,4.00,0.73,"12,911.34","7,112.49","1,776.26",0.53
13,29/03/18,560.00,560.00,542.00,550.55,548.00,-12.00,-2.14,"23,107.69","12,725.80","1,766.92",-1.01
14,28/03/18,558.00,570.00,556.00,564.66,560.00,0.00,0.00,"16,018.73","9,045.08","1,784.99",-0.98
15,27/03/18,562.00,564.00,558.00,559.88,560.00,0.00,0.00,"8,752.88","4,900.55","1,802.58",0.08
16,26/03/18,552.00,560.00,552.00,556.63,560.00,10.00,1.82,"10,251.55","5,706.28","1,801.10",0.38
17,23/03/18,534.00,550.00,534.00,542.19,550.00,6.00,1.10,"12,716.09","6,894.50","1,794.21",-0.24
18,22/03/18,546.00,554.00,542.00,548.02,544.00,2.00,0.37,"10,586.57","5,801.32","1,798.55",-0.16
19,21/03/18,546.00,548.00,540.00,543.39,542.00,0.00,0.00,"8,773.12","4,770.40","1,801.43",0.09
20,20/03/18,536.00,548.00,534.00,541.92,542.00,6.00,1.12,"10,709.69","5,803.75","1,799.84",0.00
21,19/03/18,546.00,546.00,536.00,539.44,536.00,-12.00,-2.19,"13,324.54","7,187.71","1,799.79",-0.66
22,16/03/18,554.00,556.00,546.00,550.30,548.00,-10.00,-1.79,"16,069.69","8,843.22","1,811.76",-0.24
23,15/03/18,560.00,564.00,556.00,559.49,558.00,-2.00,-0.36,"7,801.36","4,364.77","1,816.08",0.15
24,14/03/18,564.00,566.00,554.00,561.57,560.00,-6.00,-1.06,"13,962.72","7,840.95","1,813.40",0.19
25,13/03/18,554.00,566.00,552.00,558.74,566.00,8.00,1.43,"14,249.48","7,962.06","1,809.90",0.53
26,12/03/18,544.00,558.00,542.00,549.41,558.00,24.00,4.49,"15,088.79","8,287.88","1,800.32",1.41
27,09/03/18,534.00,534.00,522.00,528.32,534.00,2.00,0.38,"18,968.44","10,024.45","1,775.37",-0.20
28,08/03/18,544.00,546.00,532.00,537.66,532.00,-8.00,-1.48,"21,607.86","11,613.85","1,778.90",-0.15
29,07/03/18,550.00,550.00,540.00,542.91,540.00,-12.00,-2.17,"16,165.43","8,776.13","1,781.64",-0.97
30,06/03/18,556.00,560.00,552.00,555.95,552.00,-10.00,-1.78,"13,175.31","7,324.72","1,799.06",-0.54
31,05/03/18,560.00,564.00,550.00,558.21,562.00,6.00,1.08,"18,810.21","10,502.01","1,808.89",-0.17
32,02/03/18,560.00,564.00,552.00,558.31,556.00,-12.00,-2.11,"22,035.88","12,301.61","1,811.98",-0.99
33,28/02/18,570.00,578.00,564.00,571.18,568.00,-6.00,-1.05,"22,306.21","12,741.09","1,830.13",-0.01
34,27/02/18,572.00,588.00,568.00,577.63,574.00,8.00,1.41,"30,222.11","17,453.17","1,830.39",-0.21
35,26/02/18,542.00,568.00,536.00,551.46,566.00,28.00,5.20,"20,850.06","11,503.45","1,834.18",1.44
36,23/02/18,546.00,548.00,532.00,537.79,538.00,-2.00,-0.37,"16,813.02","9,041.77","1,808.06",1.09
37,22/02/18,524.00,548.00,522.00,539.69,540.00,18.00,3.45,"33,753.50","18,216.83","1,788.63",-0.70
38,21/02/18,508.00,526.00,508.00,517.38,522.00,32.00,6.53,"33,427.90","17,294.89","1,801.16",0.01
39,20/02/18,488.00,492.00,486.00,488.82,490.00,2.00,0.41,"4,050.67","1,980.04","1,801.02",-0.48
40,19/02/18,490.00,492.00,488.00,489.88,488.00,2.00,0.41,"6,627.12","3,246.48","1,809.67",0.21
41,16/02/18,490.00,490.00,484.00,487.48,486.00,0.00,0.00,"2,908.05","1,417.63","1,805.89",0.28
42,15/02/18,484.00,488.00,480.00,483.87,486.00,6.00,1.25,"4,729.81","2,288.63","1,800.86",0.49
43,14/02/18,488.00,490.00,480.00,483.34,480.00,-8.00,-1.64,"7,145.87","3,453.03","1,792.09",-0.44
44,13/02/18,492.00,492.00,484.00,487.98,488.00,0.00,0.00,"5,871.87","2,865.13","1,800.03",0.03
